Genres,Source,Type,Episodes,Score,Favorites,Decimal,Popularity
"Comedy, Romance, Shounen, Ecchi",Manga,OVA,1,5.73,33,275,2984
"Mistery, Sci-Fi, Action",Original,Movie,1,7.87,397,32808,614
Comedy,Web manga,Movie,1,4.0,0,1,12644
"Historical, Romance",Novel,TV,26,6.6,0,1026,9096
Comedy,Manga,Special,2,6.94,22,1,2105
"Shoujo, Music",Game,Movie,1,6.68,3,8704,7926
"Comedy, Shoujo, Ecchi",Manga,TV,12,5.4,30,769,2310
Music,Music,Music,1,6.16,1,8192,12356
Hentai,Visual novel,OVA,2,6.98,21,2048,4699
"Comedy, Fantasy",Light novel,TV,26,7.59,98,5,3717
"Comedy, Historical, Fantasy, Supernatural",Manga,Special,11,6.67,15,1157,3823
Music,Original,Music,1,5.77,0,8192,13322
"Comedy, Romance, Action, Supernatural, Ecchi",Light novel,TV,12,7.68,2801,395,189
Romance,Original,Movie,1,7.5,69,2,1768
"Comedy, Romance, Fantasy, Shounen, Action, Supernatural",Manga,TV,64,7.83,2829,159,343
"Historical, Fantasy",Original,Movie,1,6.9,0,1028,9728
Comedy,Original,TV,26,4.64,2,1,3956
"Comedy, Supernatural",Manga,TV,108,6.77,1,129,8385
"Fantasy, Shounen, Action",Manga,OVA,1,7.4,5,28,4377
"Comedy, Fantasy",Manga,TV,26,6.99,13,5,8045
Hentai,Visual novel,OVA,0,7.04,8,2048,7279
"Comedy, Romance, Supernatural, Ecchi",Light novel,TV,12,7.39,1464,387,255
"Comedy, Romance, Shoujo",Manga,TV,12,7.91,371,515,1493
Hentai,Visual novel,OVA,2,6.02,5,2048,6433
Comedy,Light novel,ONA,5,6.61,14,1,2421
"Sci-Fi, Fantasy, Shounen",Game,TV,25,6.97,40,52,3276
"Comedy, Fantasy",Original,TV,12,6.08,4,5,7143
"Romance, Shoujo",Manga,OVA,1,5.31,1,514,8131
"Sci-Fi, Romance, Action",Original,TV,25,8.0,1155,42,869
"Historical, Fantasy, Shounen, Action",Novel,TV,34,7.35,4,1052,9064
"Comedy, Action",Manga,Movie,1,7.31,25,9,2948
"Comedy, Romance, Shoujo, Music, Ecchi",Visual novel,TV,13,7.2,222,8963,1889
"Sci-Fi, Fantasy, Action",Manga,OVA,4,6.99,8,44,5179
"Comedy, Romance, Fantasy, Shounen, Action",Original,TV,13,7.49,933,31,1127
Fantasy,Game,Special,1,6.61,4,4,3657
"Comedy, Romance",Original,ONA,0,4.89,0,3,12225
"Gore, Action, Supernatural",Original,Movie,1,7.32,112,16520,1527
"Historical, Romance, Shounen",Manga,TV,12,7.47,135,1042,1659
"Historical, Romance, Shounen",Manga,Movie,1,7.46,5,1042,4448
"Sci-Fi, Fantasy, Shounen",Manga,TV,26,7.35,141,52,3101
"Comedy, Fantasy, Action",Original,TV,12,7.15,253,13,931
"Romance, Shounen, Action, Ecchi",Manga,TV,12,6.91,120,282,1450
"Comedy, Sci-Fi, Romance, Fantasy, Shounen, Action, Ecchi",Original,TV,25,7.42,149,319,2610
"Romance, Shoujo, Ecchi",Visual novel,ONA,26,6.26,149,770,1732
"Sci-Fi, Romance, Fantasy, Shounen",Manga,Special,3,8.09,76,54,3211
"Romance, Fantasy, Gore, Shounen, Action, Supernatural",Manga,Special,1,6.17,8,16542,4581
"Comedy, Romance, Fantasy, Shounen, Action, Ecchi",Manga,Movie,1,7.41,174,287,1273
"Comedy, Historical, Fantasy, Action, Supernatural",Manga,Movie,1,8.54,564,1165,1327
"Fantasy, Shounen, Action",Visual novel,Special,1,5.44,5,28,3036
"Comedy, Romance, Fantasy, Shounen, Action",Manga,TV,12,7.74,471,31,1028
Romance,Original,ONA,6,5.7,0,2,9910
"Sci-Fi, Fantasy, Action",Original,OVA,7,7.55,62,44,2949
"Romance, Otro",Manga,TV,13,7.48,101,4098,2477
Comedy,Original,Special,3,5.97,0,1,7589
"Comedy, Romance, Shounen, Supernatural",4-koma manga,Special,11,7.33,9,147,3931
Hentai,Visual novel,OVA,2,6.0,5,2048,7212
"Comedy, Sci-Fi, Romance",Original,TV,13,6.92,88,35,2597
Hentai,Original,OVA,1,6.14,36,2048,6006
"Sci-Fi, Romance, Action",Original,OVA,6,6.92,1,42,7145
"Comedy, Romance",Light novel,Special,1,6.81,38,3,4327
"Comedy, Sci-Fi, Shounen, Supernatural, Ecchi",Manga,Movie,1,6.87,251,433,1318
"Comedy, Romance, Ecchi",Web manga,ONA,15,7.48,26,259,4087
"Comedy, Fantasy, Action",Light novel,Special,8,7.05,48,13,1781
"Historical, Romance, Fantasy, Otro",Original,Movie,1,6.13,1,5126,9274
"Romance, Ecchi",Other,ONA,12,6.51,96,258,1799
"Historical, Romance, Fantasy, Shounen, Supernatural, Otro",Manga,TV,10,8.77,894,5270,569
"Comedy, Sci-Fi, Fantasy, Shounen",Manga,OVA,2,7.02,19,53,2254
"Sci-Fi, Music",Music,Music,1,3.67,0,8224,13823
Hentai,Manga,OVA,4,7.21,87,2048,3892
Comedy,Card game,Special,3,5.92,3,1,4279
"Romance, Fantasy, Gore",Original,OVA,1,7.63,1058,16390,1478
"Sci-Fi, Gore, Action",Game,Movie,1,7.35,32,16424,3102
"Historical, Romance, Shounen, Action, Otro",Manga,TV,12,7.5,613,5146,1229
"Comedy, Fantasy, Shoujo, Action",Original,Movie,1,6.8,1,525,6282
"Comedy, Romance",Manga,Special,35,7.3,22,3,2909
"Romance, Fantasy, Supernatural",Novel,Special,1,6.8,9,134,3265
"Comedy, Romance, Fantasy, Shounen, Action",Manga,Movie,1,8.32,401,31,784
"Comedy, Sci-Fi, Historical, Romance, Fantasy",Other,OVA,2,7.19,62,1063,2803
"Comedy, Sci-Fi, Romance, Shounen, Ecchi",Manga,TV,12,7.52,767,307,444
"Romance, Shoujo",Manga,Special,10,6.77,65,514,2383
"Comedy, Romance, Shounen",4-koma manga,TV,12,7.6,210,19,1618
"Comedy, Romance, Ecchi",Manga,Special,1,6.41,5,259,3483
"Comedy, Romance, Shounen",Manga,TV,12,7.07,381,19,1037
"Mistery, Comedy, Fantasy, Shounen, Otro",Manga,Movie,1,8.21,25,36885,2161
"Comedy, Ecchi",Light novel,OVA,1,6.36,6,257,2667
"Sci-Fi, Music",Music,Music,1,3.8,0,8224,14002
"Comedy, Romance, Fantasy, Action",Card game,TV,12,6.75,38,15,2923
"Comedy, Romance, Action, Supernatural, Ecchi",Light novel,Special,1,6.97,52,395,2441
"Sci-Fi, Shounen, Action",Manga,OVA,6,8.46,240,56,2189
"Comedy, Sports, Romance, Fantasy, Shoujo",Original,TV,51,8.03,1155,4615,1499
"Comedy, Romance, Shoujo",Manga,TV,12,8.03,495,515,1231
"Comedy, Romance, Fantasy",Game,TV,13,6.29,10,7,3292
"Comedy, Romance",Manga,Special,6,6.31,0,3,7468
"Sci-Fi, Fantasy, Action, Supernatural, Otro",Game,TV,50,6.48,2,4268,7627
"Comedy, Sports, Romance, Shounen",Manga,OVA,2,7.58,3,4115,5305
"Sci-Fi, Fantasy, Shounen",Original,TV,26,7.17,143,52,2431
"Sci-Fi, Action",Original,TV,73,6.55,0,40,9768
Comedy,Original,TV,0,4.67,0,1,11717
"Comedy, Fantasy",Web manga,TV,12,6.86,62,5,1777
"Comedy, Romance, Shounen",Manga,TV,11,8.16,1768,19,506
"Romance, Action, Supernatural, Otro",Novel,OVA,8,7.92,290,4234,1649
"Action, Supernatural, Otro",Light novel,Special,1,7.65,28,4232,2269
"Comedy, Sci-Fi, Action, Ecchi",Manga,Movie,1,6.7,3,297,4986
"Comedy, Romance, Shoujo",Manga,OVA,2,6.22,8,515,5805
Sci-Fi,Original,Special,1,5.33,5,32,5965
"Sci-Fi, Romance, Fantasy, Shoujo, Otro",Manga,TV,12,7.34,305,4646,1024
"Gore, Supernatural, Otro",Original,Movie,1,6.92,95,20608,2261
"Comedy, Sports",Original,TV,12,7.27,1,4097,10898
Hentai,Visual novel,OVA,4,6.42,18,2048,5829
"Comedy, Romance, Shounen, Supernatural",Manga,ONA,1,7.41,245,147,1934
"Sci-Fi, Romance, Action",Light novel,TV,13,7.79,362,42,2031
"Comedy, Sci-Fi",Game,TV,12,5.14,1,33,10869
"Comedy, Romance, Shounen",Manga,TV,12,7.49,305,19,937
"Comedy, Fantasy, Shoujo",Original,OVA,1,6.02,1,517,9716
"Comedy, Romance, Shounen, Action",Manga,TV,25,8.76,11671,27,57
"Fantasy, Hentai",Visual novel,OVA,2,6.38,10,2052,5729
"Comedy, Shounen, Ecchi",Manga,OVA,2,6.6,38,273,2520
"Comedy, Romance, Action",Novel,Special,1,7.44,5,11,4165
"Comedy, Fantasy, Shounen, Action",Manga,Movie,1,7.39,22,29,1697
"Sci-Fi, Romance, Shounen, Action",Game,TV,26,7.94,1945,58,726
"Comedy, Romance, Shounen, Ecchi",Manga,OVA,4,7.0,15,275,2574
"Sports, Romance, Shounen, Action",Manga,TV,26,8.28,3395,4122,745
"Sci-Fi, Romance, Action, Otro",Original,Movie,1,7.12,17,4138,3455
Action,Manga,OVA,1,6.29,2,8,8576
"Comedy, Sci-Fi, Romance, Action",Manga,Special,1,7.16,6,43,6411
"Action, Supernatural, Thriller, Otro",Light novel,Movie,1,8.0,221,69768,657
"Sci-Fi, Romance, Action",Original,Movie,1,7.91,5,42,4105
"Comedy, Sci-Fi, Shounen, Action",Original,TV,54,7.16,48,57,3944
"Romance, Otro",Web manga,ONA,16,6.25,1,4098,8293
Fantasy,Novel,ONA,10,6.93,1,4,9338
"Comedy, Romance, Shoujo",Game,Special,1,5.7,1,515,7801
"Sci-Fi, Romance, Fantasy, Otro",Original,TV,26,7.63,230,4134,2579
Music,Game,Music,1,7.12,3,8192,7514
"Comedy, Romance, Ecchi",Light novel,TV,12,7.29,639,259,503
"Comedy, Romance, Hentai, Action, Supernatural",Manga,OVA,1,4.97,3,2187,8212
"Comedy, Fantasy",Original,OVA,6,6.86,2,5,5465
Sci-Fi,Original,OVA,5,5.83,1,32,8692
Hentai,Visual novel,OVA,2,6.91,64,2048,3044
"Sports, Romance",Novel,Special,1,5.95,0,4098,5750
"Supernatural, Thriller, Otro",Visual novel,TV,24,8.35,5221,69760,251
"Comedy, Sports",Light novel,Special,7,7.76,109,4097,1670
Romance,Original,Movie,2,5.78,2,2,10057
"Comedy, Sci-Fi, Shounen",Manga,Movie,1,6.32,1,49,8890
"Sci-Fi, Music",Original,Music,1,4.53,0,8224,10790
"Sci-Fi, Romance, Supernatural",Original,Movie,1,6.33,11,162,2630
"Sci-Fi, Romance, Fantasy, Shounen, Otro",Original,TV,26,7.01,50,4150,3249
Comedy,Original,Special,6,6.27,1,1,5422
"Comedy, Shounen",Manga,OVA,10,8.12,151,17,3389
"Sci-Fi, Action",Original,Movie,1,7.49,79,40,1288
Comedy,4-koma manga,ONA,13,6.61,41,1,2436
"Comedy, Romance, Ecchi",Light novel,TV,12,7.49,1876,259,193
"Sci-Fi, Romance, Action",Original,TV,51,6.89,85,42,3024
"Comedy, Romance, Fantasy, Shoujo, Action",Original,TV,50,7.43,109,527,3883
"Music, Otro",Other,Movie,1,3.6,0,12288,13392
"Romance, Shoujo, Ecchi",Novel,Special,1,6.76,17,770,3207
Hentai,Visual novel,OVA,1,6.17,10,2048,6093
"Sci-Fi, Fantasy, Shounen, Action, Otro",Manga,TV,50,7.01,52,4156,3401
"Sci-Fi, Romance, Action, Ecchi",Original,TV,13,7.13,72,298,2890
"Historical, Romance, Otro",Novel,TV,52,7.13,4,5122,7178
Hentai,Original,OVA,1,5.07,96,2048,4231
"Romance, Fantasy, Shoujo",Manga,OVA,4,6.98,65,518,3289
Comedy,Other,OVA,1,6.23,13,1,4108
"Comedy, Gore, Shounen, Action, Supernatural",Manga,OVA,3,7.17,11,16537,3705
"Comedy, Romance, Fantasy, Action, Otro",Original,TV,50,7.35,672,4111,565
"Fantasy, Music",Original,Music,1,5.31,0,8196,10322
"Comedy, Romance, Fantasy, Action, Otro",Game,TV,25,5.47,5,4111,5509
"Romance, Shoujo",Light novel,TV,13,7.92,61,514,3203
"Sci-Fi, Action",Original,TV,26,6.29,3,40,9652
"Sci-Fi, Romance, Shounen, Action, Otro",Manga,TV,11,7.9,1211,4154,376
"Comedy, Fantasy, Shounen, Supernatural",Manga,TV,13,7.91,35,149,2620
"Sci-Fi, Fantasy, Shounen, Action",Original,TV,26,6.39,3,60,7371
"Romance, Shounen, Otro",Manga,TV,22,8.43,3918,4114,391
"Comedy, Romance, Shounen, Action, Supernatural",Original,OVA,4,6.19,4,155,7070
"Shounen, Thriller, Otro",Manga,TV,26,7.99,824,69648,1331
"Fantasy, Action, Otro",Game,ONA,1,7.61,16,4108,3594
"Comedy, Historical, Otro",Web manga,TV,32,6.0,0,5121,11598
"Comedy, Sci-Fi, Fantasy, Action, Ecchi",Original,OVA,1,6.98,0,301,4602
"Sci-Fi, Fantasy, Shounen, Action",Manga,TV,52,7.36,138,60,2744
Romance,Game,Special,1,6.02,0,2,6889
Comedy,Web manga,TV,13,6.66,2,1,11025
"Comedy, Fantasy",Manga,TV,43,6.69,0,5,11803
"Comedy, Historical, Shounen",Manga,TV,3,7.1,18,1041,2977
"Shounen, Action, Supernatural",Manga,TV,24,7.75,1088,152,497
"Comedy, Romance, Ecchi",Light novel,OVA,1,7.2,57,259,1084
"Comedy, Sports, Romance, Shounen",Manga,TV,26,8.32,151,4115,1886
Romance,Other,ONA,3,6.27,0,2,8193
"Fantasy, Shounen, Action",Manga,OVA,8,8.3,215,28,1126
"Comedy, Fantasy, Shounen, Action, Supernatural",Manga,TV,103,8.16,12129,157,106
"Comedy, Supernatural, Otro",Game,Movie,1,7.06,3,4225,8458
"Comedy, Sports, Romance",Manga,OVA,2,8.46,71,4099,2742
Romance,Visual novel,OVA,1,6.29,0,2,6561
"Romance, Fantasy, Shoujo",Manga,OVA,1,8.13,502,518,2654
"Fantasy, Shounen, Action",Game,OVA,1,6.44,3,28,4834
"Comedy, Fantasy",Original,TV,40,7.19,68,5,2665
"Comedy, Romance, Shounen, Ecchi",Manga,TV,12,6.95,310,275,616
"Romance, Fantasy",Novel,Movie,1,5.0,0,6,12757
"Comedy, Fantasy, Otro",Game,Movie,1,6.61,6,4101,2911
"Comedy, Romance, Ecchi",Manga,TV,12,6.64,130,259,1298
"Comedy, Shounen, Action, Ecchi",Manga,TV,12,7.11,68,281,2064
"Sci-Fi, Fantasy, Action",Original,Special,1,7.32,111,44,2175
"Comedy, Shounen, Action",Manga,Special,1,7.38,272,25,1653
Otro,Picture book,Special,2,6.21,0,4096,13162
"Comedy, Romance, Shounen, Action",Manga,TV,52,7.7,82,27,3583
"Comedy, Romance, Fantasy, Action",Original,Movie,1,7.96,127,15,1787
Comedy,Game,TV,6,5.36,0,1,12079
Music,Music,Music,1,5.43,0,8192,12913
"Historical, Fantasy, Shounen, Action, Supernatural",Manga,ONA,0,8.46,1,1180,10367
"Sci-Fi, Romance, Fantasy, Shounen, Action",Original,TV,49,7.55,131,62,3637
"Sci-Fi, Romance, Action",Original,TV,25,8.18,1266,42,851
"Sci-Fi, Fantasy, Shounen, Action",Original,TV,105,7.06,52,60,4532
"Comedy, Romance, Gore, Shounen, Supernatural, Ecchi",Manga,TV,12,7.49,1530,16787,205
"Comedy, Sports, Romance, Shounen",Manga,TV,26,8.36,229,4115,1778
Shounen,Original,Special,1,6.9,19,16,4449
"Historical, Shounen, Action",Game,TV,12,7.51,1020,1048,764
"Comedy, Romance, Shoujo",Visual novel,TV,12,6.89,229,515,1918
Hentai,Manga,OVA,0,5.98,7,2048,7134
"Comedy, Supernatural, Otro",Game,TV,214,7.24,125,4225,3487
"Comedy, Romance, Shounen",Manga,TV,13,6.53,38,19,2902
Action,Novel,TV,12,6.71,316,8,571
"Comedy, Romance",Original,OVA,4,7.19,90,3,2189
"Sports, Romance, Shounen, Action",Manga,OVA,2,6.42,5,4122,5375
Fantasy,Original,Special,1,5.69,1,4,10613
"Supernatural, Otro",Novel,TV,11,7.49,559,4224,843
"Comedy, Sci-Fi, Romance, Otro",Picture book,TV,44,5.0,0,4131,12480
"Fantasy, Action, Otro",Game,Movie,1,7.07,27,4108,2009
"Comedy, Historical",Web manga,ONA,48,7.86,1099,1025,1082
"Comedy, Sci-Fi, Fantasy, Shounen, Action",Manga,Movie,1,7.05,16,61,2039
"Romance, Fantasy, Shounen, Otro",Game,TV,29,7.14,85,4118,2904
"Sports, Shounen",Manga,OVA,3,6.1,1,4112,8660
"Sci-Fi, Fantasy, Action",Original,TV,6,6.14,6,44,3355
"Romance, Fantasy, Shounen, Action, Supernatural, Ecchi",Light novel,OVA,2,7.41,66,414,1622
"Sci-Fi, Romance, Fantasy, Shoujo, Music",Original,Music,1,5.61,0,8742,10777
"Sci-Fi, Action",Light novel,TV,13,8.03,1244,40,415
"Comedy, Shoujo",Manga,TV,12,7.14,94,513,2330
Fantasy,Game,TV,25,7.14,12,4,7256
"Comedy, Romance",Original,ONA,3,4.06,0,3,12002
"Sci-Fi, Romance, Shounen, Action, Ecchi",Manga,TV,12,7.11,1051,314,369
"Comedy, Otro",Original,ONA,1,4.4,0,4097,13129
"Gore, Shounen",Manga,OVA,2,5.03,0,16400,10826
"Sci-Fi, Shoujo, Gore, Action, Supernatural",Original,TV,6,7.44,911,17064,709
"Comedy, Romance, Shounen",4-koma manga,Special,6,7.41,1,19,5811
"Comedy, Supernatural, Otro",Game,TV,0,6.34,1,4225,10830
"Sci-Fi, Shounen, Action",Original,ONA,1,6.11,0,56,8204
"Comedy, Sci-Fi, Historical, Romance, Shounen",Original,OVA,4,6.81,7,1075,4796
"Fantasy, Otro",Game,Movie,1,6.67,4,4100,3177
"Comedy, Gore, Action",Web manga,ONA,41,6.84,5,16393,7307
"Comedy, Fantasy, Otro",Game,Movie,1,7.25,10,4101,4239
Hentai,Manga,OVA,3,6.37,18,2048,5332
"Historical, Romance, Fantasy",Novel,TV,50,7.29,7,1030,6328
"Comedy, Gore, Supernatural",Original,Special,1,5.34,1,16513,8113
"Comedy, Fantasy, Supernatural",Light novel,TV,10,8.36,4646,133,112
"Comedy, Fantasy, Otro",Game,TV,26,6.33,0,4101,10569
"Comedy, Historical, Fantasy",Picture book,TV,48,6.36,0,1029,11372
"Romance, Fantasy",Light novel,Movie,1,7.79,21,6,2066
"Fantasy, Shoujo",Manga,Special,1,6.17,7,516,5769
"Comedy, Romance, Shounen, Supernatural, Ecchi",Light novel,OVA,1,7.04,3,403,2981
Fantasy,Game,TV,12,7.33,86,4,1442
"Comedy, Sci-Fi, Fantasy, Shounen, Action",Manga,Movie,1,7.69,110,61,1115
"Romance, Gore, Supernatural, Otro",Manga,TV,12,6.47,117,20610,1404
"Comedy, Shounen, Supernatural",Manga,OVA,1,6.76,0,145,6055
"Comedy, Romance, Shounen, Supernatural",Manga,TV,13,7.39,320,147,791
"Fantasy, Otro",Novel,Movie,1,6.54,0,4100,11757
"Comedy, Otro",Manga,TV,60,5.69,0,4097,11729
"Comedy, Sci-Fi, Sports, Fantasy, Shounen, Action",Manga,TV,52,7.01,178,4157,2210
"Historical, Romance, Fantasy, Shounen, Supernatural, Otro",Manga,Movie,1,8.71,124,5270,1432
"Comedy, Fantasy, Shounen, Action",Manga,TV,220,7.88,34468,29,10
"Comedy, Sci-Fi, Romance, Fantasy, Gore, Hentai, Action, Supernatural",Manga,OVA,6,5.89,1,18607,7281
"Sci-Fi, Gore, Supernatural",Manga,OVA,1,7.09,51,16544,3652
"Comedy, Fantasy, Supernatural",Light novel,Movie,1,7.4,10,133,3161
"Comedy, Romance, Ecchi",Manga,TV,12,6.87,16,259,2939
"Comedy, Sci-Fi, Fantasy, Shounen",Manga,TV,23,7.49,1703,53,430
"Comedy, Romance, Shoujo",Manga,TV,24,7.72,2782,515,339
"Mistery, Sci-Fi, Action",Original,TV,22,6.29,1,32808,9404
"Shounen, Action, Supernatural, Otro",Manga,OVA,1,7.8,62,4248,1958
"Fantasy, Action, Supernatural, Otro",Light novel,TV,13,8.01,1548,4236,314
"Comedy, Fantasy, Shoujo, Action, Supernatural, Otro",Manga,OVA,1,7.03,82,4749,2668
Romance,Game,OVA,2,6.2,0,2,6903
Fantasy,Original,ONA,43,4.73,0,4,13614
Ecchi,Other,Special,6,6.23,1,256,4496
"Romance, Fantasy, Action, Ecchi",Light novel,TV,12,7.32,560,270,410
"Comedy, Romance, Shoujo, Music, Ecchi",Visual novel,TV,13,7.46,613,8963,1110
"Comedy, Sports, Shounen",Manga,TV,12,6.75,10,4113,3600
"Sci-Fi, Fantasy, Otro",Original,Movie,1,6.0,0,4132,14130
"Comedy, Fantasy, Shounen, Supernatural",Manga,TV,150,7.64,818,149,1191
"Romance, Otro",Manga,TV,11,8.52,4705,4098,256
"Romance, Supernatural",Original,Special,7,6.83,21,130,2582
"Sci-Fi, Gore",Original,OVA,2,6.13,1,16416,8935
"Comedy, Romance, Shounen, Action",Manga,Special,1,7.46,75,27,1576
"Sci-Fi, Shounen, Action",Game,OVA,1,5.91,10,56,4898
"Comedy, Shoujo, Action, Otro",Manga,TV,26,7.01,24,4617,3831
"Comedy, Romance, Shoujo",Manga,TV,12,7.13,463,515,713
"Comedy, Music",Original,TV,25,6.48,57,8193,2791
"Comedy, Romance, Fantasy, Shounen, Otro",Game,TV,51,6.49,0,4119,10209
"Romance, Music, Shounen, Action",Game,OVA,1,6.45,0,8218,11461
Romance,Visual novel,Special,1,7.0,10,2,2677
"Comedy, Historical",Original,ONA,3,4.9,0,1025,13925
"Mistery, Comedy, Shounen, Action",Manga,TV,26,7.48,6,32793,4443
"Fantasy, Otro",Game,Movie,1,6.69,6,4100,4406
"Sci-Fi, Fantasy",Original,TV,12,6.23,17,36,2591
"Comedy, Romance",Manga,TV,12,5.97,1,3,9386
"Fantasy, Action, Supernatural",Light novel,Movie,1,7.81,146,140,1246
Romance,Novel,TV,12,6.65,19,2,3255
"Comedy, Fantasy, Ecchi",Original,TV,13,7.35,264,261,1398
"Comedy, Romance, Shounen",Manga,Special,1,7.35,5,19,3526
Comedy,Original,Special,13,4.83,0,1,12830
"Comedy, Shounen, Action, Supernatural",Manga,OVA,1,7.64,7,153,3909
"Comedy, Sports, Shounen, Ecchi",Manga,Special,6,6.59,1,4369,4067
"Comedy, Romance, Fantasy, Shoujo, Supernatural",Manga,TV,12,8.27,1038,647,588
"Comedy, Sci-Fi, Otro",Other,TV,10,4.56,0,4129,11641
"Sci-Fi, Romance, Gore, Shounen, Action",Manga,TV,13,6.87,81,16442,1501
"Comedy, Romance, Ecchi, Otro",Light novel,TV,12,6.78,179,4355,694
"Comedy, Romance",4-koma manga,Special,1,7.09,20,3,2061
"Comedy, Sci-Fi, Fantasy, Shounen, Action",Manga,Movie,1,6.88,41,61,1154
"Sci-Fi, Fantasy, Action",Original,TV,26,7.9,1668,44,689
"Comedy, Romance, Fantasy, Action, Otro",Manga,TV,73,7.24,42,4111,3697
"Comedy, Historical",Web manga,Special,4,7.79,59,1025,2873
"Romance, Fantasy, Action, Supernatural, Ecchi",Light novel,OVA,1,7.14,60,398,1445
"Comedy, Fantasy, Shounen, Action",Original,TV,52,6.32,3,29,5653
"Romance, Gore, Shounen, Action, Supernatural",Manga,OVA,1,7.62,322,16538,772
"Comedy, Fantasy",Manga,OVA,1,6.81,16,5,2113
"Comedy, Romance",Digital manga,TV,12,4.8,5,3,5446
"Sci-Fi, Fantasy, Shounen",Original,OVA,8,7.33,278,52,2491
"Comedy, Shounen, Action",Manga,Movie,1,7.47,129,25,827
"Comedy, Sci-Fi, Romance, Shoujo, Shounen",Original,TV,12,6.38,8,563,3835
Comedy,Game,Special,13,6.32,0,1,7656
"Romance, Fantasy, Shounen, Action",Manga,OVA,3,7.88,622,30,455
"Comedy, Romance",Book,TV,24,6.51,3,3,8495
"Comedy, Romance, Fantasy",Original,TV,25,8.13,3495,7,300
"Comedy, Romance",Light novel,ONA,4,7.57,176,3,658
"Comedy, Romance, Shounen",Manga,TV,12,7.4,187,19,1279
Hentai,Visual novel,OVA,2,6.7,31,2048,4709
"Historical, Shounen, Action",Game,TV,12,6.94,36,1048,2776
"Sci-Fi, Romance, Music, Action",Original,Movie,1,7.9,54,8234,2469
"Comedy, Romance, Fantasy, Shoujo, Shounen",Manga,TV,13,7.3,403,535,1686
"Comedy, Sci-Fi, Shounen, Supernatural, Ecchi",Original,TV,12,7.11,435,433,643
"Romance, Action, Supernatural",Web manga,ONA,1,7.7,303,138,1653
"Sci-Fi, Action",Manga,Special,1,7.08,15,40,4977
"Sci-Fi, Shounen, Action",Original,Special,1,7.25,45,56,2299
"Comedy, Romance, Fantasy, Action, Otro",Game,Movie,1,7.33,63,4111,1509
"Romance, Music",Other,TV,13,7.62,6331,8194,305
"Shounen, Action, Supernatural",Original,Movie,1,7.67,11,152,2489
"Sci-Fi, Romance, Action, Thriller, Otro",Light novel,Movie,1,6.38,12,69674,2595
"Sci-Fi, Action",Original,OVA,1,6.4,2,40,7571
"Comedy, Sci-Fi, Action",Manga,OVA,2,6.98,7,41,6961
"Romance, Hentai, Supernatural",Manga,OVA,2,6.86,66,2178,3908
"Comedy, Supernatural, Ecchi",Web manga,Special,1,6.14,0,385,6809
"Sci-Fi, Romance",Original,Movie,1,8.17,573,34,1010
Sci-Fi,Original,ONA,2,5.63,1,32,9655
"Comedy, Fantasy, Otro",Game,Special,1,6.57,12,4101,2940
"Fantasy, Action, Supernatural",Game,ONA,2,7.16,5,140,3347
"Comedy, Fantasy",Manga,Movie,1,7.31,4,5,6485
"Comedy, Fantasy, Supernatural, Ecchi",Original,TV,12,7.07,92,389,2585
"Romance, Shounen, Action",Game,Movie,1,6.64,21,26,3481
"Romance, Shounen",Original,Special,1,7.56,106,18,1292
"Comedy, Music",Manga,OVA,12,8.22,2549,8193,627
Music,Original,Special,1,6.66,4,8192,5761
"Sci-Fi, Action",Original,TV,25,7.92,487,40,1722
"Comedy, Romance, Shounen",4-koma manga,Special,2,7.57,8,19,3071
"Comedy, Sports, Romance, Shounen",Manga,TV,75,8.2,2285,4115,787
"Comedy, Romance, Ecchi",Manga,TV,12,7.03,471,259,1054
Fantasy,Game,OVA,1,3.21,3,4,7529
"Mistery, Sci-Fi, Fantasy, Gore, Thriller, Otro",Original,OVA,3,6.4,9,118820,3964
"Sci-Fi, Romance, Fantasy, Action",Manga,TV,26,6.62,7,46,5028
"Comedy, Action, Ecchi",Original,Special,2,6.82,0,265,6433
"Fantasy, Action",Game,Movie,1,7.33,20,12,5912
"Shounen, Action, Otro",Original,TV,48,6.8,31,4120,4169
Romance,Visual novel,TV,14,7.35,1012,2,829
"Comedy, Sci-Fi, Romance",Manga,OVA,2,6.96,2,35,5066
"Comedy, Romance",Digital manga,TV,12,7.19,299,3,1018
"Comedy, Romance, Action, Supernatural, Otro",Manga,TV,12,7.11,815,4235,719
"Comedy, Historical, Fantasy, Ecchi",Visual novel,TV,12,7.14,23,1285,3041
"Sci-Fi, Shounen, Action",Original,TV,26,6.41,0,56,9554
"Comedy, Fantasy",Original,ONA,12,4.28,0,5,10184
"Romance, Fantasy, Shoujo, Supernatural",Manga,TV,46,7.73,6676,646,423
"Romance, Fantasy, Otro",Other,Movie,1,5.71,2,4102,5808
"Sci-Fi, Romance, Action",Original,Movie,1,7.28,4,42,4124
"Comedy, Fantasy",Light novel,TV,12,6.53,25,5,2710
"Romance, Shounen",Manga,OVA,1,5.57,0,18,10930
"Sci-Fi, Romance, Fantasy",Original,TV,24,7.7,686,38,1249
"Historical, Romance, Gore, Otro",Other,Movie,1,6.8,41,21506,3350
"Comedy, Historical, Romance, Supernatural",Manga,ONA,0,7.5,6,1155,6546
"Comedy, Romance",Original,ONA,10,7.9,78,3,3267
"Sci-Fi, Fantasy, Shounen, Action",Manga,Movie,1,6.65,0,60,7239
