Genres,Source,Type,Episodes,Score,Favorites,Decimal,Popularity
Hentai,Manga,OVA,1,6.49,6,2048,7015
"Romance, Fantasy",Picture book,Movie,1,7.17,21,6,4822
"Sci-Fi, Fantasy, Action",Original,TV,22,7.69,1717,44,347
"Fantasy, Shounen, Action",Manga,TV,42,7.42,219,28,1730
"Romance, Music",Novel,TV,13,8.02,3337,8194,367
"Comedy, Sci-Fi, Historical, Shounen, Action",Manga,TV,12,8.85,393,1081,1724
"Historical, Fantasy",Original,TV,26,6.06,15,1028,4956
"Comedy, Romance, Shounen",Manga,TV,12,7.27,210,19,1035
"Comedy, Romance",Other,TV,141,6.66,2,3,10281
Romance,Manga,Special,2,7.7,2,2,4512
Otro,Card game,TV,12,7.36,501,4096,856
"Comedy, Romance, Shoujo, Shounen, Ecchi",Manga,TV,12,6.28,26,787,2624
"Comedy, Shounen",Manga,TV,119,6.05,0,17,11377
"Comedy, Romance, Shounen",Manga,Movie,1,7.94,230,19,1690
"Gore, Action, Supernatural",Other,OVA,22,7.12,55,16520,2509
"Sci-Fi, Romance, Fantasy, Action",Manga,Special,1,5.97,2,46,8226
"Mistery, Romance, Fantasy, Shounen, Otro",Manga,TV,12,7.73,539,36886,1064
"Fantasy, Shounen, Otro",Manga,TV,12,7.2,147,4116,1135
"Comedy, Otro",Web manga,TV,13,6.84,6,4097,5286
"Comedy, Fantasy, Supernatural",Light novel,TV,26,7.85,1702,133,949
Sci-Fi,Original,TV,12,7.01,159,32,1133
"Comedy, Fantasy, Shounen, Action",Manga,TV,131,7.78,4314,29,278
"Comedy, Romance, Fantasy",Manga,TV,12,6.82,65,7,1842
"Fantasy, Hentai, Action",Visual novel,OVA,4,7.56,437,2060,3031
"Historical, Action, Otro",Original,TV,12,7.71,609,5128,922
"Comedy, Supernatural",Manga,TV,12,6.78,83,129,2572
Music,Visual novel,OVA,1,6.57,3,8192,7323
"Historical, Supernatural",Original,TV,25,7.0,20,1152,3394
"Sci-Fi, Romance, Fantasy, Shounen, Supernatural, Otro",Game,TV,25,7.63,1748,4278,479
"Fantasy, Action, Supernatural",Visual novel,Movie,1,7.53,732,140,609
"Shoujo, Otro",Manga,OVA,6,5.43,0,4608,10531
"Comedy, Fantasy, Shounen, Action",Manga,TV,175,8.08,37733,29,19
"Shounen, Action, Otro",Other,TV,26,5.09,3,4120,7208
"Comedy, Romance, Otro",Web manga,TV,14,6.93,36,4099,2514
Hentai,Visual novel,OVA,1,7.5,225,2048,3193
Hentai,Visual novel,OVA,1,6.85,15,2048,5915
"Comedy, Romance",Manga,Special,2,7.18,4,3,4616
